company,end_date,revenue,n_income,total_assets,total_liab,net_operate_cash_flow,year,revenue_prev,revenue_growth,ocf_ratio,debt_ratio,roe,multi_state
000002.SZ,19991231,2872795896.07,240126889.47,4494664465.95,2348353754.91,0.0,1999,,0.0,0.0,0.5224758761639058,0.053424875491622795,中大型|缓慢|现金平淡|中利
000002.SZ,20001231,3783668674.18,311177265.88,5622247214.95,2656602254.25,0.0,2000,2872795896.07,0.31706839297427236,0.0,0.4725160870169289,0.05534748899915946,中大型|高速增长|现金平淡|中利
000002.SZ,20011231,4455064776.93,381969284.35,6482911630.82,3356829340.71,0.0,2001,3783668674.18,0.1774457968087034,0.0,0.5177965599209328,0.05891940320983307,中大型|温和增长|现金平淡|中利
000002.SZ,20021231,4574359629.05,398048307.64,8215822308.3,4789363433.39,0.0,2002,4455064776.93,0.02677735523347572,0.0,0.582943892122833,0.04844899179938122,中大型|缓慢|现金平淡|薄利
000002.SZ,20031231,6380060435.28,565890614.8,10561040095.7,5800579701.15,0.0,2003,4574359629.05,0.3947439538340378,0.0,0.5492432230715367,0.05358284881717343,中大型|高速增长|现金平淡|中利
000002.SZ,20041231,7667226237.03,912653719.73,15534422529.76,9229974987.69,0.0,2004,6380060435.28,0.20174821458309752,0.0,0.5941627356927957,0.05875041173764829,中大型|温和增长|现金平淡|中利
000002.SZ,20051231,10558851683.83,1433425711.84,21992392061.3,13411168833.23,843439134.65,2005,7667226237.03,0.3771410099827847,0.07987981647110894,0.6098094648298684,0.06517825381816462,中大型|高速增长|现金充沛|中利
000002.SZ,20061231,17918331517.79,2422997051.18,49919840381.13,32466336834.14,-3024121481.87,2006,10558851683.83,0.6969962316290919,-0.16877249306764622,0.6503694039537128,0.04853775638465197,中大型|高速增长|现金吃紧|薄利
000002.SZ,20071231,35526611301.94,5317500817.82,100094467908.29,66174944879.25,-10437715815.8,2007,17918331517.79,0.9826963948438967,-0.29379992724580595,0.661124897930241,0.05312482226981892,巨头|高速增长|现金吃紧|中利
000002.SZ,20081231,40991779214.96,4639869152.73,119236579721.09,80418030239.89,-34151830.4,2008,35526611301.94,0.15383307646686697,-0.0008331385232367822,0.6744409343843838,0.03891313524409424,巨头|温和增长|现金吃紧|薄利
000002.SZ,20091231,48881013143.49,6430007538.69,137608554829.39,92200042375.32,9253351319.55,2009,40991779214.96,0.19245892907353515,0.1893035909952772,0.6700167913952121,0.046726800863958334,巨头|温和增长|现金充沛|薄利
000002.SZ,20100930,22380429859.16,3825645658.41,187935298155.38,138598564972.19,-1207363590.0,2010,48881013143.49,-0.542144722052664,-0.053947292236920234,0.7374802196956121,0.020356184793167784,巨头|收缩|现金吃紧|薄利
000002.SZ,20201231,419111677714.12,59298116444.53,1869177094005.55,1519332620662.33,53188022243.81,2020,22380429859.16,17.726703658132976,0.12690656231270667,0.8128350307388363,0.03172418313636467,巨头|高速增长|现金充沛|薄利
000002.SZ,20211231,452797773974.14,38069527018.02,1938638128699.08,1545865352173.99,4113160948.2,2021,419111677714.12,0.08037498846070718,0.009083880673925107,0.7973975799244908,0.019637252798471724,巨头|温和增长|现金平淡|薄利
000002.SZ,20221231,503838367358.76,37550909305.14,1757124444202.95,1352132937796.74,2750449478.44,2022,452797773974.14,0.1127227126949944,0.005458991725577604,0.7695146136391504,0.021370660131117512,巨头|温和增长|现金平淡|薄利
000002.SZ,20230930,290308491288.95,21027345000.6,1646701739373.12,1239574345996.9,235323600.88,2023,503838367358.76,-0.42380630357545845,0.0008105984080423523,0.7527619096757566,0.012769370735349353,巨头|收缩|现金平淡|薄利
000333.SZ,20031231,14021867559.59,308257237.43,9344069873.35,6085344044.94,0.0,2003,,0.0,0.0,0.651251984137647,0.0329896117653372,中大型|缓慢|现金平淡|薄利
000333.SZ,20041231,20378128618.17,549298194.36,12625078478.49,8590903147.55,1498308395.86,2004,14021867559.59,0.45331059015977865,0.07352531843989074,0.6804633462030961,0.04350849741614421,中大型|高速增长|现金充沛|薄利
000333.SZ,20051231,29544578256.06,818600287.12,16124790918.16,11217903691.33,2437805745.36,2005,20378128618.17,0.4498180284188024,0.08251279555361304,0.6956929704245787,0.050766567534099256,中大型|高速增长|现金充沛|中利
000333.SZ,20061231,36825178484.56,1656378085.73,19650978408.55,13653826979.83,2415555006.84,2006,29544578256.06,0.24642762422938444,0.06559520160514062,0.6948166496325352,0.08428985322223559,中大型|温和增长|现金充沛|中利
000333.SZ,20071231,47920570189.52,2616899970.17,27421108056.97,18851455147.5,2149740838.66,2007,36825178484.56,0.3012990611739209,0.044860502079963525,0.6874797002489571,0.09543377914317458,中大型|高速增长|现金平淡|中利
000333.SZ,20081231,63992087064.07,2658407041.22,35898659436.71,24748516421.77,4419600460.0,2008,47920570189.52,0.3353782480256207,0.06906479633294377,0.6893994597598301,0.07405310067098245,中大型|高速增长|现金充沛|中利
000333.SZ,20091231,68533849239.95,3314548811.04,52065829973.51,35484688373.4,3524105320.9,2009,63992087064.07,0.07097380917319833,0.05142138315566428,0.6815350565131462,0.0636607312843447,中大型|温和增长|现金充沛|中利
000333.SZ,20100930,81224042704.6,4655621954.54,73445976818.55,52170339180.0,9527622126.24,2010,68533849239.95,0.18516679867519534,0.11730051606629051,0.7103226267776115,0.06338838635153321,中大型|温和增长|现金充沛|中利
000333.SZ,20201231,285709729000.0,27506542000.0,360382603000.0,236145503000.0,29557117000.0,2020,81224042704.6,2.517551201423015,0.10345155939719504,0.6552633257937814,0.0763259429590168,巨头|高速增长|现金充沛|中利
000333.SZ,20211231,343360825000.0,29015376000.0,387946104000.0,253121028000.0,35091704000.0,2021,285709729000.0,0.20178205412109015,0.10220066310709733,0.6524644155209766,0.07479228609549331,巨头|温和增长|现金充沛|中利
000333.SZ,20221231,345708706000.0,29810231000.0,422555267000.0,270631465000.0,34657828000.0,2022,343360825000.0,0.006837940816340944,0.10025153372909272,0.6404640673902664,0.07054753147829063,巨头|缓慢|现金充沛|中利
000333.SZ,20230930,292379658000.0,28287089000.0,465019979000.0,296757722000.0,44787056000.0,2023,345708706000.0,-0.15426006656598346,0.15318116282905017,0.6381612304876905,0.060829835872492695,巨头|缓慢|现金充沛|中利
000651.SZ,19951231,2564104365.87,155172172.07,1099235232.46,804542733.46,0.0,1995,,0.0,0.0,0.7319113413600273,0.14116375411542909,中大型|缓慢|现金平淡|中利
000651.SZ,19960630,1853619209.94,131181703.51,1667198437.29,1203824234.78,0.0,1996,2564104365.87,-0.2770890161052132,0.0,0.7220641573637712,0.07868391702863722,中大型|收缩|现金平淡|中利
000651.SZ,19991231,4326939501.4,230826432.36,3423855391.07,2337525913.1,0.0,1999,1853619209.94,1.3343195183761927,0.0,0.68271747667751,0.06741710907593668,中大型|高速增长|现金平淡|中利
000651.SZ,20001231,6177717129.96,259021825.4,5785824935.69,4136141106.51,0.0,2000,4326939501.4,0.4277336505308599,0.0,0.7148749145512708,0.04476834820946926,中大型|高速增长|现金平淡|薄利
000651.SZ,20011231,6587976827.62,277289360.69,6922276525.54,5166208189.07,0.0,2001,6177717129.96,0.06640959581499262,0.0,0.746316355610626,0.040057538826559505,中大型|温和增长|现金平淡|薄利
000651.SZ,20021231,7029690860.93,301104853.91,7144163634.25,5281840006.2,0.0,2002,6587976827.62,0.06704851047109343,0.0,0.7393223723037653,0.042146970495813715,中大型|温和增长|现金平淡|薄利
